code_1,code_2
1124057,1124065
1124057,1124062
1124057,1124060
1124057,1124061
1124057,1124058
1124057,1124059
1124056,1124054
1124056,1124053
1124056,1124055
1124056,1124060
1124055,1124054
1124055,1124056
1124054,1124070
1124054,1124053
1124054,1124055
1124054,1124056
1124053,1124070
1124053,1124054
1124053,1124067
1124053,1124056
1124053,1124060
1124052,1124059
1124052,1124075
1124052,1125065
1124052,1125066
1124052,1105062
1124052,1124051
1124052,1105063
1124051,1125065
1124051,1124052
1124051,1125066
1124051,1125073
1124051,1105063
1123080,1123067
1123080,1122068
1123080,1123068
1123080,1123072
1123080,1123060
1123080,1123074
1123080,1123079
1123079,1123059
1123079,1123080
1123079,1123060
1123079,1123074
1123079,1123063
1123079,1124071
1123079,1124078
1123079,1123058
1123079,1124079
1123078,1123059
1123078,1123058
1123078,1105066
1123078,1105067
1123078,1104067
1123078,1123053
1123078,1123077
1123078,1104065
1123077,1123052
1123077,1123051
1123077,1104073
1123077,1123053
1123077,1123078
1123077,1104065
1123077,1104062
1123076,1122068
1123076,1123072
1123076,1124069
1123076,1123075
1123075,1123072
1123075,1123076
1123075,1124069
1123075,1123073
1123075,1124066
1123074,1123072
1123074,1123080
1123074,1123079
1123074,1124071
1123074,1123073
1123074,1124064
1123073,1123072
1123073,1123074
1123073,1123075
1123073,1124066
1123073,1124064
1123072,1122068
1123072,1123080
1123072,1123074
1123072,1123076
1123072,1123075
1123072,1123073
1123071,1122067
1123071,1122066
1123071,1123067
1123071,1122068
1123071,1123068
1123068,1123071
1123068,1123067
1123068,1122068
1123068,1123080
1123067,1122067
1123067,1122066
1123067,1123071
1123067,1123066
1123067,1123065
1123067,1123068
1123067,1123080
1123067,1123060
1123067,1123063
1123066,1122066
1123066,1123067
1123066,1122052
1123066,1123065
1123066,1123064
1123065,1123067
1123065,1123066
1123065,1123064
1123065,1123063
1123064,1122052
1123064,1123066
1123064,1123065
1123064,1123059
1123064,1123052
1123064,1122054
1123064,1122057
1123064,1123063
1123064,1123053
1123063,1123067
1123063,1123065
1123063,1123064
1123063,1123059
1123063,1123060
1123063,1123079
1123063,1123058
1123060,1123067
1123060,1123080
1123060,1123079
1123060,1123063
1123059,1123064
1123059,1123079
1123059,1123063
1123059,1123058
1123059,1123053
1123059,1123078
1123058,1123059
1123058,1123079
1123058,1123063
1123058,1124079
1123058,1105066
1123058,1105067
1123058,1123078
1123053,1123064
1123053,1123059
1123053,1123052
1123053,1123051
1123053,1123078
1123053,1123077
1123052,1123064
1123052,1122057
1123052,1122055
1123052,1123051
1123052,1123053
1123052,1123077
1123051,1123052
1123051,1122055
1123051,1103074
1123051,1104073
1123051,1123053
1123051,1123077
1122068,1122067
1122068,1123071
1122068,1123068
1122068,1123072
1122068,1123080
1122068,1123076
1122067,1122066
1122067,1123071
1122067,1123067
1122067,1122068
1122066,1122067
1122066,1123071
1122066,1123067
1122066,1122052
1122066,1123066
1122066,1122064
1122066,1122053
1122066,1122051
1122065,1120063
1122065,1122063
1122065,1122062
1122065,1122053
1122065,1122061
1122065,1122060
1122065,1120073
1122064,1122066
1122064,1122063
1122064,1122062
1122064,1122053
1122063,1121063
1122063,1120063
1122063,1122064
1122063,1122062
1122063,1122065
1122063,1120073
1122062,1122063
1122062,1122064
1122062,1122053
1122062,1122065
1122061,1122065
1122061,1122060
1122061,1120073
1122061,1122058
1122060,1122053
1122060,1122065
1122060,1122061
1122060,1122054
1122060,1122057
1122060,1122058
1122060,1122059
1122059,1122060
1122059,1122057
1122059,1122058
1122059,1122055
1122059,1103069
1122059,1103070
1122058,1122061
1122058,1122060
1122058,1120073
1122058,1122056
1122058,1122059
1122058,1103069
1122057,1123064
1122057,1123052
1122057,1122054
1122057,1122060
1122057,1122059
1122057,1122055
1122056,1120073
1122056,1103063
1122056,1122058
1122056,1103069
1122055,1123052
1122055,1122057
1122055,1122059
1122055,1103070
1122055,1123051
1122055,1103074
1122054,1122052
1122054,1123064
1122054,1122053
1122054,1122051
1122054,1122060
1122054,1122057
1122053,1122066
1122053,1122064
1122053,1122062
1122053,1122051
1122053,1122065
1122053,1122054
1122053,1122060
1122052,1122066
1122052,1123066
1122052,1123064
1122052,1122051
1122052,1122054
1122051,1122066
1122051,1122052
1122051,1122053
1122051,1122054
1121083,1118060
1121083,1121071
1121083,1118053
1121083,1118055
1121083,1121081
1121083,1118054
1121083,1121065
1121083,1121072
1121083,1121068
1121082,1121073
1121082,1121066
1121082,1118058
1121082,1121071
1121082,1121081
1121082,1121065
1121081,1121082
1121081,1121071
1121081,1121083
1121081,1121065
1121080,1121073
1121080,1121058
1121080,1121066
1121080,1121057
1121080,1121061
1121080,1121078
1121080,1121064
1121079,1121057
1121079,1121061
1121079,1121078
1121079,1121054
1121079,1120056
1121079,1120053
1121078,1121080
1121078,1121061
1121078,1121079
1121078,1120055
1121078,1120056
1121078,1121064
1121078,1121069
1121078,1121052
1121073,1121063
1121073,1121058
1121073,1121066
1121073,1121080
1121073,1121082
1121072,1117054
1121072,1121083
1121072,1118054
1121072,1121068
1121072,1119071
1121072,1120069
1121071,1118061
1121071,1118058
1121071,1118060
1121071,1121082
1121071,1121081
1121071,1121083
1121069,1121078
1121069,1121065
1121069,1121064
1121069,1121068
1121069,1121052
1121069,1120070
1121068,1121083
1121068,1121065
1121068,1121072
1121068,1121069
1121068,1120069
1121068,1120070
1121066,1121073
1121066,1121080
1121066,1121082
1121066,1121065
1121066,1121064
1121065,1121066
1121065,1121082
1121065,1121081
1121065,1121083
1121065,1121064
1121065,1121068
1121065,1121069
1121064,1121066
1121064,1121080
1121064,1121078
1121064,1121065
1121064,1121069
1121063,1121073
1121063,1121058
1121063,1121062
1121063,1120063
1121063,1121057
1121063,1122063
1121062,1121063
1121062,1121058
1121062,1120063
1121062,1121057
1121061,1121058
1121061,1121080
1121061,1121057
1121061,1121078
1121061,1121079
1121058,1121073
1121058,1121063
1121058,1121062
1121058,1121080
1121058,1121057
1121058,1121061
1121057,1121063
1121057,1121058
1121057,1121062
1121057,1121080
1121057,1120063
1121057,1120066
1121057,1121061
1121057,1120067
1121057,1121054
1121057,1121079
1121054,1121057
1121054,1120067
1121054,1121079
1121054,1120053
1121052,1121078
1121052,1120055
1121052,1121069
1121052,1120070
1120073,1120063
1120073,1122063
1120073,1122065
1120073,1122061
1120073,1120065
1120073,1120053
1120073,1120071
1120073,1103063
1120073,1122056
1120073,1122058
1120072,1120053
1120072,1120054
1120072,1120071
1120072,1120052
1120072,1103063
1120072,1103064
1120072,1119054
1120071,1120073
1120071,1120053
1120071,1120072
1120071,1103063
1120070,1120055
1120070,1121068
1120070,1121069
1120070,1121052
1120070,1120069
1120070,1119068
1120070,1120068
1120069,1117054
1120069,1121072
1120069,1121068
1120069,1119071
1120069,1119070
1120069,1120070
1120069,1119068
1120068,1120055
1120068,1120054
1120068,1120052
1120068,1120070
1120068,1119068
1120068,1119069
1120068,1119063
1120068,1119054
1120067,1120066
1120067,1121057
1120067,1120065
1120067,1121054
1120067,1120053
1120066,1120063
1120066,1121057
1120066,1120067
1120066,1120065
1120065,1120063
1120065,1120066
1120065,1120067
1120065,1120073
1120065,1120053
1120063,1121063
1120063,1121062
1120063,1120066
1120063,1121057
1120063,1122063
1120063,1122065
1120063,1120065
1120063,1120073
1120056,1121078
1120056,1121079
1120056,1120055
1120056,1120053
1120056,1120054
1120055,1121078
1120055,1120056
1120055,1120054
1120055,1121052
1120055,1120070
1120055,1120068
1120054,1120055
1120054,1120056
1120054,1120053
1120054,1120052
1120054,1120072
1120054,1120068
1120053,1120067
1120053,1120065
1120053,1121054
1120053,1121079
1120053,1120056
1120053,1120073
1120053,1120054
1120053,1120071
1120053,1120072
1120052,1120054
1120052,1120072
1120052,1120068
1120052,1119054
1119076,1119075
1119076,1117051
1119076,1115065
1119076,1119061
1119076,1119073
1119076,1119074
1119076,1119055
1119075,1119072
1119075,1119065
1119075,1119066
1119075,1117051
1119075,1119076
1119075,1119073
1119074,1119076
1119074,1119063
1119074,1119073
1119074,1119055
1119074,1119054
1119074,1119056
1119073,1119065
1119073,1119066
1119073,1119075
1119073,1119076
1119073,1119063
1119073,1119074
1119072,1117054
1119072,1117055
1119072,1119071
1119072,1119070
1119072,1119067
1119072,1119065
1119072,1119075
1119072,1117056
1119072,1117051
1119071,1117054
1119071,1117055
1119071,1121072
1119071,1120069
1119071,1119070
1119071,1119072
1119070,1119071
1119070,1120069
1119070,1119068
1119070,1119072
1119070,1119067
1119069,1119068
1119069,1120068
1119069,1119066
1119069,1119063
1119068,1120069
1119068,1119070
1119068,1120070
1119068,1119067
1119068,1120068
1119068,1119066
1119068,1119069
1119067,1119070
1119067,1119068
1119067,1119072
1119067,1119065
1119067,1119066
1119066,1119068
1119066,1119067
1119066,1119065
1119066,1119069
1119066,1119075
1119066,1119063
1119066,1119073
1119065,1119072
1119065,1119067
1119065,1119066
1119065,1119075
1119065,1119073
1119063,1120068
1119063,1119066
1119063,1119069
1119063,1119073
1119063,1119074
1119063,1119054
1119062,1119061
1119062,1119055
1119062,1119056
1119062,1114068
1119062,1114069
1119062,1115071
1119062,1116051
1119062,1114070
1119061,1119076
1119061,1115065
1119061,1115051
1119061,1119055
1119061,1119056
1119061,1115071
1119061,1119062
1119056,1119061
1119056,1119074
1119056,1119055
1119056,1119054
1119056,1114068
1119056,1119062
1119055,1119076
1119055,1119061
1119055,1119074
1119055,1119056
1119055,1119062
1119054,1120052
1119054,1120072
1119054,1103064
1119054,1103057
1119054,1114075
1119054,1114059
1119054,1114063
1119054,1120068
1119054,1119063
1119054,1119074
1119054,1119056
1119054,1114076
1119054,1114068
1118061,1118059
1118061,1118058
1118061,1118057
1118061,1118060
1118061,1121071
1118060,1118061
1118060,1118057
1118060,1121071
1118060,1118053
1118060,1121083
1118059,1118061
1118059,1118057
1118058,1118061
1118058,1121082
1118058,1121071
1118057,1118059
1118057,1118061
1118057,1118060
1118057,1118053
1118057,1118052
1118055,1118053
1118055,1118052
1118055,1121083
1118055,1118054
1118054,1118055
1118054,1118052
1118054,1117054
1118054,1121083
1118054,1121072
1118053,1118057
1118053,1118060
1118053,1118055
1118053,1118052
1118053,1121083
1118052,1118057
1118052,1118053
1118052,1118055
1118052,1118051
1118052,1117070
1118052,1117054
1118052,1118054
1118051,1118052
1118051,1117070
1118051,1117052
1117072,1117064
1117072,1117067
1117072,1117061
1117072,1117062
1117072,1115066
1117071,1117070
1117071,1117055
1117071,1117052
1117071,1117061
1117071,1117056
1117071,1117051
1117071,1115070
1117071,1115069
1117070,1118052
1117070,1118051
1117070,1117054
1117070,1117055
1117070,1117052
1117070,1117071
1117069,1117068
1117069,1117067
1117069,1115066
1117068,1117065
1117068,1117064
1117068,1117067
1117068,1117069
1117067,1117068
1117067,1117064
1117067,1117069
1117067,1117072
1117067,1115066
1117065,1117068
1117065,1117064
1117064,1117068
1117064,1117065
1117064,1117052
1117064,1117067
1117064,1117061
1117064,1117072
1117062,1117061
1117062,1117072
1117062,1115070
1117062,1115066
1117061,1117064
1117061,1117052
1117061,1117071
1117061,1117072
1117061,1117062
1117061,1115070
1117056,1117055
1117056,1117071
1117056,1119072
1117056,1117051
1117055,1117070
1117055,1117054
1117055,1117071
1117055,1119071
1117055,1119072
1117055,1117056
1117054,1118052
1117054,1117070
1117054,1117055
1117054,1118054
1117054,1121072
1117054,1119071
1117054,1120069
1117054,1119072
1117052,1118051
1117052,1117070
1117052,1117064
1117052,1117071
1117052,1117061
1117051,1117071
1117051,1119072
1117051,1119075
1117051,1117056
1117051,1115070
1117051,1119076
1117051,1115069
1117051,1115065
1116074,1116073
1116074,1116055
1116074,1116058
1116074,1116067
1116074,1116061
1116074,1116054
1116074,1116064
1116073,1115060
1116073,1115058
1116073,1115072
1116073,1115057
1116073,1116063
1116073,1115061
1116073,1116055
1116073,1116058
1116073,1116074
1116072,1116070
1116072,1116064
1116072,1116071
1116071,1116069
1116071,1116070
1116071,1116072
1116070,1116069
1116070,1116064
1116070,1116072
1116070,1116071
1116069,1116067
1116069,1116070
1116069,1116064
1116069,1116071
1116067,1115059
1116067,1115061
1116067,1116058
1116067,1116074
1116067,1116069
1116067,1116054
1116067,1116064
1116066,1116051
1116066,1116052
1116066,1116054
1116066,1116065
1116066,1114074
1116065,1116052
1116065,1116054
1116065,1116066
1116065,1114074
1116065,1116064
1116064,1116074
1116064,1116067
1116064,1116069
1116064,1116054
1116064,1116065
1116064,1116070
1116064,1116072
1116063,1115058
1116063,1115072
1116063,1116057
1116063,1116073
1116063,1116055
1116061,1116055
1116061,1116053
1116061,1116074
1116061,1116052
1116061,1116054
1116059,1115072
1116059,1115051
1116059,1116057
1116059,1115054
1116059,1116055
1116059,1116053
1116058,1116073
1116058,1115061
1116058,1116074
1116058,1116067
1116057,1115072
1116057,1116063
1116057,1116059
1116057,1116055
1116055,1116057
1116055,1116063
1116055,1116073
1116055,1116059
1116055,1116053
1116055,1116074
1116055,1116061
1116054,1116074
1116054,1116067
1116054,1116061
1116054,1116052
1116054,1116066
1116054,1116065
1116054,1116064
1116053,1115054
1116053,1116059
1116053,1116055
1116053,1115053
1116053,1116061
1116053,1116052
1116052,1116053
1116052,1115053
1116052,1116061
1116052,1116051
1116052,1116054
1116052,1116066
1116052,1116065
1116051,1114069
1116051,1115071
1116051,1119062
1116051,1115052
1116051,1115053
1116051,1116052
1116051,1114070
1116051,1116066
1116051,1114074
1115072,1115066
1115072,1115069
1115072,1115064
1115072,1115058
1115072,1115051
1115072,1116057
1115072,1116063
1115072,1116073
1115072,1115054
1115072,1116059
1115071,1119061
1115071,1115051
1115071,1115054
1115071,1119062
1115071,1115052
1115071,1116051
1115070,1117071
1115070,1117061
1115070,1117062
1115070,1117051
1115070,1115066
1115070,1115069
1115070,1115064
1115069,1117071
1115069,1117051
1115069,1115070
1115069,1115064
1115069,1115065
1115069,1115072
1115069,1115051
1115066,1117067
1115066,1117069
1115066,1117072
1115066,1117062
1115066,1115070
1115066,1115062
1115066,1115064
1115066,1115063
1115066,1115058
1115066,1115072
1115065,1117051
1115065,1119076
1115065,1115069
1115065,1119061
1115065,1115051
1115064,1115070
1115064,1115066
1115064,1115069
1115064,1115072
1115064,1115051
1115063,1115066
1115063,1115062
1115063,1115060
1115063,1115057
1115063,1115059
1115062,1115066
1115062,1115063
1115062,1115060
1115062,1115058
1115061,1115057
1115061,1115059
1115061,1116073
1115061,1116058
1115061,1116067
1115060,1115062
1115060,1115063
1115060,1115058
1115060,1115057
1115060,1115059
1115060,1116073
1115059,1115063
1115059,1115060
1115059,1115057
1115059,1115061
1115059,1116067
1115058,1115066
1115058,1115062
1115058,1115060
1115058,1115072
1115058,1115057
1115058,1116063
1115058,1116073
1115057,1115063
1115057,1115060
1115057,1115058
1115057,1115059
1115057,1116073
1115057,1115061
1115054,1115072
1115054,1115051
1115054,1116059
1115054,1115071
1115054,1115052
1115054,1116053
1115054,1115053
1115053,1115054
1115053,1115052
1115053,1116053
1115053,1116051
1115053,1116052
1115052,1115054
1115052,1115071
1115052,1115053
1115052,1116051
1115051,1115069
1115051,1115064
1115051,1115065
1115051,1115072
1115051,1119061
1115051,1115054
1115051,1116059
1115051,1115071
1114078,1114059
1114078,1114077
1114078,1114061
1114078,1113074
1114077,1114075
1114077,1103059
1114077,1114059
1114077,1103058
1114077,1103071
1114077,1114078
1114077,1102068
1114077,1113074
1114076,1114063
1114076,1114060
1114076,1119054
1114076,1114068
1114076,1114066
1114075,1103057
1114075,1103059
1114075,1114059
1114075,1114077
1114075,1119054
1114074,1116051
1114074,1114070
1114074,1116066
1114074,1116065
1114074,1114073
1114074,1113071
1114074,1112067
1114074,1112068
1114073,1114070
1114073,1114074
1114073,1114072
1114073,1114071
1114073,1113069
1114073,1113076
1114073,1113071
1114072,1114069
1114072,1114066
1114072,1114070
1114072,1114071
1114072,1114073
1114071,1113075
1114071,1114066
1114071,1114072
1114071,1114073
1114071,1113076
1114070,1114069
1114070,1119062
1114070,1116051
1114070,1114074
1114070,1114072
1114070,1114073
1114069,1114068
1114069,1114066
1114069,1119062
1114069,1116051
1114069,1114070
1114069,1114072
1114068,1119054
1114068,1119056
1114068,1114076
1114068,1114069
1114068,1114066
1114068,1119062
1114066,1114060
1114066,1113075
1114066,1114076
1114066,1114068
1114066,1114069
1114066,1114072
1114066,1114071
1114063,1114059
1114063,1114060
1114063,1119054
1114063,1114076
1114061,1114059
1114061,1114078
1114061,1114060
1114061,1113074
1114061,1113075
1114060,1114059
1114060,1114063
1114060,1114061
1114060,1113075
1114060,1114076
1114060,1114066
1114059,1114075
1114059,1114063
1114059,1114077
1114059,1114061
1114059,1114078
1114059,1114060
1114059,1119054
1113076,1113075
1113076,1114071
1113076,1114073
1113076,1113069
1113076,1113070
1113076,1113068
1113076,1113062
1113075,1114061
1113075,1114060
1113075,1113074
1113075,1113073
1113075,1114066
1113075,1114071
1113075,1113076
1113075,1113062
1113074,1114077
1113074,1114061
1113074,1114078
1113074,1102068
1113074,1113073
1113074,1113075
1113073,1102068
1113073,1113074
1113073,1102052
1113073,1113075
1113073,1101058
1113073,1113052
1113073,1113062
1113072,1113071
1113072,1113070
1113072,1112067
1113072,1112073
1113071,1114074
1113071,1114073
1113071,1113069
1113071,1113070
1113071,1113072
1113071,1112067
1113070,1113069
1113070,1113076
1113070,1113071
1113070,1113072
1113070,1113068
1113070,1112073
1113069,1114073
1113069,1113076
1113069,1113071
1113069,1113070
1113068,1113076
1113068,1113070
1113068,1113062
1113068,1113066
1113068,1112051
1113068,1112073
1113068,1112060
1113068,1112059
1113066,1113068
1113066,1113062
1113066,1113064
1113066,1101055
1113066,1112051
1113066,1101056
1113066,1112059
1113065,1101057
1113065,1113062
1113065,1101072
1113065,1113064
1113065,1101055
1113064,1113062
1113064,1113065
1113064,1101055
1113064,1113066
1113062,1113073
1113062,1113075
1113062,1113052
1113062,1101057
1113062,1113076
1113062,1113068
1113062,1113065
1113062,1113064
1113062,1113066
1113052,1113073
1113052,1101058
1113052,1101057
1113052,1113062
1112074,1112051
1112074,1112059
1112074,1112065
1112074,1112057
1112074,1112058
1112074,1112056
1112073,1113070
1112073,1113072
1112073,1112067
1112073,1113068
1112073,1112060
1112073,1112066
1112073,1112059
1112073,1112065
1112072,1112052
1112072,1112058
1112072,1112055
1112072,1112071
1112071,1101056
1112071,1112052
1112071,1112072
1112071,1112055
1112068,1114074
1112068,1112067
1112068,1112066
1112067,1114074
1112067,1113071
1112067,1113072
1112067,1112068
1112067,1112073
1112067,1112066
1112066,1112067
1112066,1112068
1112066,1112073
1112066,1112065
1112065,1112073
1112065,1112066
1112065,1112059
1112065,1112074
1112060,1113068
1112060,1112073
1112060,1112059
1112059,1113068
1112059,1113066
1112059,1112051
1112059,1112073
1112059,1112060
1112059,1112065
1112059,1112074
1112058,1112051
1112058,1112052
1112058,1112074
1112058,1112057
1112058,1112056
1112058,1112072
1112058,1112055
1112057,1112074
1112057,1112058
1112057,1112056
1112056,1112074
1112056,1112057
1112056,1112058
1112056,1112055
1112055,1112058
1112055,1112056
1112055,1112072
1112055,1112071
1112052,1112051
1112052,1101056
1112052,1112058
1112052,1112072
1112052,1112071
1112051,1113068
1112051,1113066
1112051,1101056
1112051,1112052
1112051,1112059
1112051,1112074
1112051,1112058
1111079,1111056
1111079,1108085
1111079,1107065
1111079,1107064
1111079,1111053
1111079,1111059
1111079,1111058
1111078,1111059
1111078,1111058
1111078,1111077
1111078,1111061
1111078,1111066
1111077,1110062
1111077,1111059
1111077,1111052
1111077,1111078
1111077,1111061
1111077,1111066
1111077,1111074
1111076,1111064
1111076,1111069
1111076,1111073
1111076,1111065
1111074,1110062
1111074,1110055
1111074,1111072
1111074,1111077
1111074,1111066
1111074,1111073
1111073,1111072
1111073,1111066
1111073,1111074
1111073,1111069
1111073,1111076
1111073,1111065
1111072,1110055
1111072,1110065
1111072,1111074
1111072,1111073
1111072,1111065
1111069,1111066
1111069,1111064
1111069,1111073
1111069,1111076
1111066,1111078
1111066,1111077
1111066,1111061
1111066,1111064
1111066,1111074
1111066,1111069
1111066,1111073
1111065,1111072
1111065,1110065
1111065,1111073
1111065,1111076
1111064,1111060
1111064,1111061
1111064,1111066
1111064,1111069
1111064,1111076
1111061,1111058
1111061,1111078
1111061,1111077
1111061,1111060
1111061,1111066
1111061,1111064
1111060,1111056
1111060,1111058
1111060,1111061
1111060,1111064
1111059,1111079
1111059,1111053
1111059,1111058
1111059,1111052
1111059,1111078
1111059,1111077
1111058,1111056
1111058,1111079
1111058,1111059
1111058,1111078
1111058,1111060
1111058,1111061
1111056,1107069
1111056,1107064
1111056,1111079
1111056,1111058
1111056,1111060
1111053,1108085
1111053,1111051
1111053,1111079
1111053,1111059
1111053,1111052
1111052,1110062
1111052,1108078
1111052,1111051
1111052,1111053
1111052,1111059
1111052,1109062
1111052,1109061
1111052,1110061
1111052,1110059
1111052,1111077
1111051,1108085
1111051,1108078
1111051,1111053
1111051,1109062
1111051,1111052
1110065,1110055
1110065,1111072
1110065,1110064
1110065,1111065
1110064,1109074
1110064,1110057
1110064,1110055
1110064,1110056
1110064,1110065
1110063,1110053
1110063,1110062
1110063,1110052
1110063,1110055
1110063,1110059
1110062,1110063
1110062,1110055
1110062,1111052
1110062,1110059
1110062,1111077
1110062,1111074
1110061,1109061
1110061,1111052
1110061,1109060
1110061,1110060
1110061,1110059
1110060,1110053
1110060,1110061
1110060,1109060
1110060,1109065
1110060,1110059
1110059,1110053
1110059,1110062
1110059,1110052
1110059,1110063
1110059,1111052
1110059,1110061
1110059,1110060
1110057,1110051
1110057,1109074
1110057,1110054
1110057,1110052
1110057,1110055
1110057,1110056
1110057,1110064
1110056,1110057
1110056,1110055
1110056,1110064
1110055,1110062
1110055,1110052
1110055,1110063
1110055,1110057
1110055,1111072
1110055,1110056
1110055,1110065
1110055,1110064
1110055,1111074
1110054,1110051
1110054,1110053
1110054,1110052
1110054,1110057
1110053,1109064
1110053,1110051
1110053,1110054
1110053,1110052
1110053,1110063
1110053,1109060
1110053,1109065
1110053,1110060
1110053,1110059
1110052,1110053
1110052,1110054
1110052,1110063
1110052,1110057
1110052,1110055
1110052,1110059
1110051,1109064
1110051,1109074
1110051,1110053
1110051,1110054
1110051,1110057
1110051,1109065
1109075,1108065
1109075,1109063
1109075,1109064
1109075,1109074
1109075,1109070
1109075,1109060
1109075,1109065
1109074,1109075
1109074,1109064
1109074,1110051
1109074,1110057
1109074,1110064
1109073,1108066
1109073,1108065
1109073,1109069
1109073,1109072
1109072,1108066
1109072,1109073
1109072,1109069
1109072,1108068
1109072,1109071
1109072,1109070
1109071,1108071
1109071,1108068
1109071,1108076
1109071,1109072
1109071,1109062
1109071,1109061
1109071,1109070
1109070,1109069
1109070,1109063
1109070,1109075
1109070,1109071
1109070,1109072
1109070,1109061
1109070,1109060
1109069,1109073
1109069,1108065
1109069,1109063
1109069,1109072
1109069,1109070
1109065,1109075
1109065,1109064
1109065,1110051
1109065,1110053
1109065,1109060
1109065,1110060
1109064,1109075
1109064,1110051
1109064,1109074
1109064,1110053
1109064,1109065
1109063,1108065
1109063,1109069
1109063,1109075
1109063,1109070
1109063,1109060
1109062,1108076
1109062,1109071
1109062,1108078
1109062,1111051
1109062,1109061
1109062,1111052
1109061,1109071
1109061,1109062
1109061,1109070
1109061,1111052
1109061,1110061
1109061,1109060
1109060,1109063
1109060,1109075
1109060,1110053
1109060,1109061
1109060,1109070
1109060,1110061
1109060,1109065
1109060,1110060
1108085,1106089
1108085,1106071
1108085,1108072
1108085,1108077
1108085,1106090
1108085,1107065
1108085,1108078
1108085,1111051
1108085,1111079
1108085,1111053
1108084,1106082
1108084,1108060
1108084,1108083
1108084,1106080
1108084,1108058
1108084,1108072
1108084,1108071
1108084,1108068
1108083,1108060
1108083,1108082
1108083,1108081
1108083,1108059
1108083,1108084
1108083,1108058
1108082,1101068
1108082,1108060
1108082,1101069
1108082,1101064
1108082,1108061
1108082,1101073
1108082,1108083
1108082,1108081
1108081,1101054
1108081,1101056
1108081,1101060
1108081,1108082
1108081,1101073
1108081,1108083
1108081,1108059
1108081,1108063
1108081,1108064
1108078,1108077
1108078,1108076
1108078,1108085
1108078,1111051
1108078,1109062
1108078,1111052
1108077,1108072
1108077,1108076
1108077,1108085
1108077,1108078
1108076,1108072
1108076,1108071
1108076,1108077
1108076,1109071
1108076,1108078
1108076,1109062
1108072,1106080
1108072,1106071
1108072,1108084
1108072,1108071
1108072,1108077
1108072,1108076
1108072,1108085
